location_clean,latitude,longitude
a narayanapura,12.9959732,77.678136
aavalahalli,,
abbaiah reddy layout,12.9792262,77.680936
abbigere,13.0784177,77.5245316
abshot layout,12.9930728,77.5866428
achins road,,
adarsh nagar,13.0305452,77.609433
addischetan layout,,
adigondanhalli,,
adityanagar,,
adugodi,12.9440234,77.6088867
aecs layout,12.964118,77.7130369
aecs layout a block singasandra,12.8814296,77.6525387
agara village,12.8446015,77.4879398
agb layout,,
agrahara dasarahalli,12.9830171,77.5399064
ags layout,12.9127651,77.5340498
air view colony,12.9547408,77.6612636
aishwarya crystal layout,,
akash nagar,12.9591286,77.6974983
akshaya nagar,13.0985378,77.5656142
akshaya nagar t c palya,,
akshaya vana,,
akshayanagara east,,
akshayanagara west,,
akshya nagar,,
alfa garden layout,12.9684751,77.5981066
allalasandra,13.0910132,77.5863933
alur,12.9602442,77.5728615
amam enclave layout,,
amarjyothi colony,,
ambalipura,12.9173303,77.667161
ambedkar colony,12.9714667,77.6951459
ambedkar nagar,12.9798531,77.7541055
amblipura,,
amco colony,,
amrita nagar,12.8833237,77.6840048
amruthahalli,13.0648427,77.5993429
amruthnagar,13.0569904,77.5981092
ams layout,13.0877316,77.5585759
anand nagar,13.0346991,77.5944561
anandapura,13.0239276,77.6923621
anantapura,13.1150894,77.5679972
anantapuram,,
ananth nagar,,
ananthapura t c palaya main road,,
anathanagar,,
andrahalli,13.0196883,77.4889451
anekal,12.7784026,77.7393213
anjana nagar,13.0257924,77.6037965
anjananager magdi road,,
anjanapura,12.8601312,77.5540587
anjappa layout,,
ankappa layout,,
annaiah reddy layout,12.9797385,77.624122
annapurneshwari nagar,12.9770585,77.6318947
annasandrapalya,,
anugrah layout,,
anwar layout,,
arasanakunte,,
ardendale,13.0261316,77.7664705
arehalli,12.9084491,77.537781
arekempanahalli,12.9446007,77.594691
arekere,12.8872086,77.5960493
arishinakunte,13.0784775,77.4225682
arudi,13.48395,77.4049643
asha township off hennur road,,
ashirvad colony,12.9398513,77.5740326
ashok nagar,12.9694359,77.6092319
ashraya layout,12.9858241,77.7054539
ashwath nagar,12.9619639,77.6988922
ashwathnagar,13.0259402,77.5795403
ashwini layout,12.9396583,77.6288969
asthagrama layout,,
atmananda colony,,
attibele,12.7751249,77.7709216
attiguppe,12.9618745,77.5335505
attur layout,13.0994536,77.5680336
austin town,12.9612736,77.6152935
avalahalli,12.9459464,77.5409354
ayappa nagar,12.9709083,77.6700294
b channasandra,13.0099152,77.6602721
b k nagar,12.9215439,77.5996741
b narayanapura,12.9980556,77.6848622
b y raveshwara nagar,,
baba nagar,12.9725631,77.6384587
babusapalaya,13.0283523,77.650469
badavala nagar,,
badrappa layout,,
bagalakunte,,
bagalur,13.0079918,77.6184726
bagalur main road,13.0887495,77.6547635
bagur,,
bagur road,,
bahubali nagar,13.0450669,77.5492146
balagere,12.9377243,77.7280705
balaji gardens layout,,
balepet,12.9731178,77.5759323
banagiri nagar,12.9228552,77.5586323
banagirinagar,,
banasawadi,13.0144163,77.6509289
banashankari,12.9278196,77.556621
banashankari nd stage,12.8833077,77.5042158
banashankari rd stage bigbazar,,
